"movieNm","movieCd"
"스크림 4G","20110182"
"링컨 차를 타는 변호사","20110581"
"트루맛쇼","20110607"
"창피해","20116048"
"화이트: 저주의 멜로디","20110233"
"꿈","19900087"
"하트 비트","20101193"
"할 수 있는 자가 구하라: 인생","20110661"
"마담 보봐리","19920394"
"돌아오지 않는 해병","19638008"
"풍산개","20110251"
"백서+단편 2","20110598"
"벨벳 골드마인","19980044"
"밀크","20100076"
"빨간모자의 진실 2","20090922"
"바이올렛의 취향","20110578"
"아이즈 와이드 오픈","20110575"
"이별","19948816"
"싱글맨","20100261"
"사샤","20110602"
"닉슨인 차이나(뉴욕메트로폴리탄오페라)","20110663"
"우리는 여기에 있었다","20110579"
"완전한 가족","20110576"
"사운드 오브 노이즈","20110592"
"혐오스런 마츠코의 일생","20070122"
"글래스톤베리","20060267"
"모르몬 발의안 8","20110580"
"사랑에 대한 모든 것","20110577"
"멋진 인생","20110615"
"엘 시드","20119159"
"연연풍진","20080852"
"주말","20110603"
"러브 송","20100180"
"소중한 날의 꿈","20101392"
"6월 단편 상상극장 <음악 단편 특별전>","20110616"
"산타렐라 패밀리","20090490"
"초롤케의 딸","20080197"
"피아니스트","20010096"
"프리스트","20110571"
"마린 스토리","20110593"
"눈물의 여인","20110875"
"프레리 홈 컴패니언","20060303"
"비밀스런 두 사람","20110778"
"징기스칸","19770081"
"환상의 빛","20070157"
"굿'바이","20081445"
"언노운 우먼","20081454"
"러브 앤 프렌즈","20110798"
"첫사랑","20041117"
"고양이를 부탁해","20010007"
"이토록 뜨거운 순간","20070687"
"물속의 칼","20110779"
"그을린 사랑","20101278"
"벡","20101189"
"밴디지","20110594"
"킹콩을 들다","20090336"
"젊은 사자들","20110876"
"정무문 : 100대 1의 전설","20110660"
"제노바","20090487"
"궁지","20110791"
"남과 북","19840056"
"슈퍼 에이트","20110656"
"그린랜턴: 반지의 선택","20110655"
"혐오","19658035"
"인 어 베러 월드","20110490"
"여로","19598050"
"개관 100일 기념 인디플러스전 - 단편2","20110892"
"개관 100일 기념 인디플러스전 - 단편1","20110880"
"전쟁과 평화","19770109"
"초(민망한)능력자들","20110897"
"음모자","20110988"
"소년 KJ","20110971"
"5인의 해병","20111021"
"소준문 감독 특별전","20110937"
"김정일리아","20110951"
"빨간 마후라","20119601"
"제10회 미쟝센 단편영화제-개막식","20110823"
"마당을 나온 암탉","20110279"
"제10회 미쟝센 단편영화제-사랑에 관한 짧은 필름 2","20110841"
"제10회 미쟝센 단편영화제-비정성시 4","20110829"
"제10회 미쟝센 단편영화제-희극지왕 2","20110844"
"제10회 미쟝센 단편영화제-절대악몽 3","20110847"
"제10회 미쟝센 단편영화제-비정성시 1","20110826"
"제10회 미쟝센 단편영화제-4만번의 구타 2","20110849"
"제10회 미쟝센 단편영화제-희극지왕 1","20110843"
"제10회 미쟝센 단편영화제-사랑에 관한 짧은 필름 3","20110842"
"제10회 미쟝센 단편영화제-사랑에 관한 짧은 필름 1","20110830"
"제10회 미쟝센 단편영화제-MSFF Choice 2002-2010 2","20110851"
"제10회 미쟝센 단편영화제-World Shorts Festival 1","20110865"
"제10회 미쟝센 단편영화제-절대악몽 2","20110846"
"제10회 미쟝센 단편영화제-비정성시 2","20110827"
"레이디 채털리","20070252"
"서부 전선 이상 없다","19300003"
"제10회 미쟝센 단편영화제-4만번의 구타 1","20110848"
"제10회 미쟝센 단편영화제-절대악몽 1","20110845"
"제10회 미쟝센 단편영화제-10년간의 시선 1","20110854"
"클라우드","20090728"
"트랜스포머 3","20110659"
"제10회 미쟝센 단편영화제-10년간 하하호호 1","20110858"
"""제10회 미쟝센 단편영화제-김종관, 낙원을 기다린다""","20110861"
"고 녀석 맛나겠다","20111101"
"장마","19798135"
"고양이: 죽음을 보는 두 개의 눈","20110296"
"제10회 미쟝센 단편영화제-전년도 수상작","20110871"
"제10회 미쟝센 단편영화제-폐막식","20110825"
"파리넬리","19950148"
"키즈 리턴","19960065"
"보리밭을 흔드는 바람","20060314"
"내일의 죠","20110895"
"[마에스트로 6] 유로피안 콘서트 2010 프럼 옥스포드","20110585"
"초능력자","20101010"
"투명인간 그리프","20112824"
"사라의 열쇠","20110900"
"세 얼간이","20110899"
"타우리스의 이피게네이아(뉴욕메트로폴리탄오페라)","20110893"
"헤어드레서","20110903"
"너무 많은 것을 안 여자","20110917"
"소나기","20070511"
"욕망이라는 이름의 전차","19518015"
"""[마에스트로 6] 갈라 프럼 베를린 2009 """"1     ""","20110582"
"포인트 블랭크","20111351"
"카 2","20111249"
"겨울나비","20110912"
"인디포럼2011-단편5","20111200"
"인디포럼2011-단편2","20111194"
"피로","20111206"
"타이페이 카페 스토리","20110913"
"퀵","20110290"
"인디포럼2011-단편1","20111193"
"이매진","20111203"
"인디포럼2011-단편4","20111199"
"호드","20110904"
"미싱 : 심해미인","20110902"
"""지금, 이대로가 좋아요""","20080266"
"고지전","20119515"
"인디포럼2011-단편7","20111202"
"인디포럼2011-단편6","20111201"
"제인 구달","20111409"
"[마에스트로 6] 루체른 부활절 페스티발 2007","20110587"
"두레소리","20111416"
"인디포럼2011-단편3","20111197"
"심플 사이먼","20111378"
"쿠키","20111392"
"강화도령","20111486"
"해리포터와 죽음의 성물2","20111009"
"차와 동정","20111539"
"촌마게 푸딩","20111381"
"블라인드","20110297"
"[마에스트로 6] 유로피안 콘서트 2009 프럼 나폴리","20110584"
"플레이+감독특별전1","20111562"
"상처뿐인 영광","19568053"
"해저 2만리","19548004"
"오누이","20111254"
"산의 소리","19540028"
"우리의 꿈이 노래가 되어","20110921"
"부운","19558050"
"아내여 장미처럼","20111251"
"플레이+감독특별전2","20111564"
"흐트러진 구름","20111260"
"여자가 계단을 오를 때","20111256"
"흐트러지다","20111259"
"피서지에서 생긴 일","19598015"
"파퍼씨네 펭귄들","20111571"
"7월 단편 상상극장 - 인비져블:미스터리 극장","20101390"
"심장이 뛰네","20101191"
"방랑기","20111257"
"룰루","20110662"
"또또와 유령친구들","19980022"
"바니버디","20111034"
"리오","20110657"
"지브리 창작의 비밀: 미야자키 하야오와 신인감독 갈등의 400일","20111216"
"별을 쫓는 아이","20111116"
"번개","20111253"
"통증","20110303"
"실록 김두한","19748089"
"인디애니유랑단_숨바꼭질","20111248"
"백경","20080244"
"SICAF2011_경쟁단편_학생4","20111270"
"7월 금요단편극장 불온한 세상에 서다","20111261"
"두 여인","20108509"
"타임코드","20111541"
